"""ROC curve (area = 0.79), x""","""ROC curve (area = 0.79), y""","""_line1, x""","""_line1, y"""
0.0,0.0416666666667,0.0,0.0
0.0,0.125,1.0,1.0
0.0196078431373,0.125,,
0.0196078431373,0.25,,
0.078431372549,0.25,,
0.078431372549,0.291666666667,,
0.0980392156863,0.291666666667,,
0.0980392156863,0.333333333333,,
0.117647058824,0.333333333333,,
0.117647058824,0.416666666667,,
0.137254901961,0.416666666667,,
0.137254901961,0.5,,
0.156862745098,0.5,,
0.156862745098,0.541666666667,,
0.176470588235,0.541666666667,,
0.176470588235,0.583333333333,,
0.313725490196,0.583333333333,,
0.313725490196,0.666666666667,,
0.333333333333,0.666666666667,,
0.333333333333,0.75,,
0.352941176471,0.75,,
0.352941176471,0.791666666667,,
0.411764705882,0.791666666667,,
0.411764705882,0.833333333333,,
0.450980392157,0.833333333333,,
0.450980392157,0.875,,
0.470588235294,0.875,,
0.470588235294,0.916666666667,,
0.509803921569,0.916666666667,,
0.509803921569,0.958333333333,,
0.56862745098,0.958333333333,,
0.56862745098,1.0,,
1.0,1.0,,
